,t1,t1,t2,t2
,LH2,CH2,LH2,CH2
SR,2.81,1.99,2.9505,2.0895
CG,5.04,4.05,5.292,4.2525
BG,7.42,4.77,7.791,5.0085
CST,209.17,,219.6285,
PCT,3247.25,,3409.6125,
