,alpha,,Beta,,,,,,,,
,LH2,CH2,LH2,CH2,,,,,,,
SR,42200000,29900000,2.81,1.99,,,,,,,
CG,75500000,60800000,5.04,4.05,,,,,,,
BG,111000000,71500000,7.42,4.77,,,,,,,
CST,9050000,,209.17,,,,,,,,
PCT,140000000,,3247.25,,,,,,,,
,,,,,,,,,,,
