,t1,t1,t2,t2
,LH2,CH2,LH2,CH2
SR,42200000,29900000,44310000,31395000
CG,75500000,60800000,79275000,63840000
BG,111000000,71500000,116550000,75075000
CST,9050000,,9502500,
PCT,140000000,,147000000,
